year,name
2018,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1102_1100_11.Table.mssplit.selections.txt"
2018,180100x_Harike_Hannu_Phylloscopus humei 180131_01_12.Table.mssplit-call1.selections.txt
2018,180200x_Siana Rajasthan_Hannu_Phylloscopus humei 180209_01_17.Table.mssplit-call2.selections.txt
2018,180203_07 Phylloscopus humei_18.Table.mssplit-call2.selections.txt
2018,180204_10 Phylloscopus humei_19.Table.mssplit-call2.selections.txt
2018,180205_10 Phylloscopus humei Mahabaleswar_20.Table.mssplit-call1.selections.txt
2018,181211_232243771ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2019,190205_347457461ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2019,190219_284333ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2019,190224_284439ML Phylloscopus humei.Table.mssplit.selections.txt
2019,190310_2273 Phylloscopus humei WII 19+20_2.Table.mssplit-call1.selections.txt
2019,190412_284749ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2019,190412_284749ML Phylloscopus humei.Table.mssplit-call2.selections.txt
2019,190412_284759ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2019,190414_284860ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2019,190415_284924ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2019,190418_284958ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2019,191020_MIXPRE-957 Phylloscopus humei 19+20_8.Table.mssplit-call1.selections.txt
2019,191025_MIXPRE-964 Phylloscopus humei 19+20_9.Table.mssplit.selections.txt
2020,200207_India_Oscar Campbell_XC529846 - Hume's Leaf Warbler - Phylloscopus humei_19+20_11.Table.mssplit.selections.txt
2020,200423_MIXPRE-2017 Phylloscopus humei_19+20_13.Table.mssplit.selections.txt
2020,200925_4608 Phylloscopus humei WII Dehradun Uttarakhand.Table.mssplit-call1.selections.txt
2020,201026_MIXPRE-3187 Phylloscopus humei WII Dehradun Uttarakhand.Table.mssplit-call1.selections.txt
2020,201122_282701211ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2020,201122_282701211ML Phylloscopus humei.Table.mssplit-call2.selections.txt
2020,201122_282701211ML Phylloscopus humei.Table.mssplit-call3.selections.txt
2020,201123_282279981ML Phylloscopus humei.Table.mssplit.selections.txt
2020,201127_283225171ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2020,201127_283432211ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2020,201223_367754341ML Phylloscopus humei.Table.mssplit.selections.txt
2021,210104_MIXPRE-3480 Phylloscopus humei WII Dehradun.Table.mssplit-call1.selections.txt
2021,210107_295636581ML Phylloscopus humei.Table.mssplit.selections.txt
2021,210114_MIXPRE-3507 Phylloscopus humei.Table.mssplit-call2.selections.txt
2021,210114_MIXPRE-3511 Phylloscopus humei.Table.mssplit-call1.selections.txt
2021,210210_307479921ML Phylloscopus humei.Table.mssplit-call2.selections.txt
2021,210221_MIXPRE-3602 Phylloscopus humei.Table.mssplit-call1.selections.txt
2021,210305_MIXPRE-3624 Phylloscopus humei.Table.mssplit.selections.txt
2021,211009_376179951ML Phylloscopus humei.Table.mssplit.selections call copy.txt
2021,211009_376179951ML Phylloscopus humei.Table.mssplit.selections call.txt
2021,211102_MixPre-305 Phylloscopus humei+P-xanthoschistos.Table.mssplit-call2.selections.txt
2022,220111_MX661 Phylloscopus humei WII Dehradun.WAV.Table.mssplit.selections.txt
2022,220111_MX662 Phylloscopus humei diff ind WII Dehradun.Table.mssplit.selections.txt
2022,220111_MX668 Phylloscopus humei diff ind WII Dehradun.Table.mssplit.selections.txt
2022,220116_XC697468-Netherlands_Maarten Sluijter-Hume's Leaf Warbler - Phylloscopus humei.Table.mssplit.selections.txt
2022,220123_XC698415 - Hume's Leaf Warbler - Phylloscopus humei.Table.mssplit.selections.txt
2022,220125_MX709 Phylloscopus humei WII Dehradun.Table.mssplit.selections.txt
2022,220216_MixPre-866 Phylloscopus humei WII Dehrdaun.Table.mssplit.selections.txt
2022,220222_XC710214 - Hume's Leaf Warbler - Phylloscopus humei.Table.mssplit.selections.txt
2022,220223_XC704667 - Hume's Leaf Warbler - Phylloscopus humei.Table.mssplit.selections.txt
2022,220403_XC713062 - Hume's Leaf Warbler - Phylloscopus humei.Table.mssplit.selections.txt
2022,220616_MixPre-209 Phylloscopus humei.Table.mssplit.selections.txt
2022,220619_XC738539 - Hume's Leaf Warbler - Phylloscopus humei humei.Table.mssplit.selections.txt
2023,XC749562 - Hume's Leaf Warbler - Phylloscopus humei humei.Table.mssplit.selections.txt
