SN,songmatch,Number of Calls,duration ( seconds),extranuous sounds
30,081105_D191Cue 37 Phylloscopus spp Sariska Rajasthan_9 EDITED,33,47,0
31,090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9 EDITED,9,8,0
32,100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4 EDITED,12,22,0
33,110200x_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - Phylloscopus humei_1 EDITED,7,9,0
34,110300x_Haryana_MikeNelson_XC73382 - Hume's Leaf Warbler - Phylloscopus humei humei_3 EDITED,10,15,0
35,110500x_Kazakhistan_ArendWasinck_XC150181 - Hume's Leaf Warbler - Phylloscopus humei humei_4 EDITED,12,16,0
36,110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5 EDITED,18,27,1
37,120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1 EDITED,13,18,1
38,120500x_Kazakhistan_ArendWassinck_XC150198 - Hume's Leaf Warbler - Phylloscopus humei humei_2 EDITED,10,12,0
39,"121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3 down sampled EDITED",12,27,0
40,"121000x_Xinjiang_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7232)_5 downsampled EDITED",31,45,0
41,121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8 EDITED,30,31,0
42,121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan_9 EDITED,10,18,0
43,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,6,8,0
44,140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,19,22,0
45,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,9,14,0
46,140900x_Ladakh_Hannu_Phylloscopus humei_140921_02_7 EDITED,12,14,0
47,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",17,24,0
48,180100x_Harike_Hannu_Phylloscopus humei 180131_05_16 EDITED,30,43,0
49,190205_347457461ML Phylloscopus humei EDITED,32,43,0
50,190219_284362ML Phylloscopus humei EDITED,19,25,0
51,201026_MIXPRE-3187 Phylloscopus humei WII Dehradun Uttarakhand EDITED,11,13,0
52,201127_283225171ML Phylloscopus humei EDITED,11,14,0
53,201223_367754341ML Phylloscopus humei EDITED,6,6,0
54,210107_295636581ML Phylloscopus humei EDITED,6,6,0
55,210114_MIXPRE-3511 Phylloscopus humei EDITED,10,17,0
56,210221_MIXPRE-3602 Phylloscopus humei WII Dehradun EDITED,31,50,0
57,210305_MIXPRE-3624 Phylloscopus humei EDITED,8,17,0
58,210425_MIXPRE-3690 Phylloscopus humei EDITED,29,39,0
59,220111_MX661 Phylloscopus humei WII Dehradun EDITED,12,18,0
60,220111_MX662 Phylloscopus humei diff ind WII Dehradun EDITED,10,15,0
61,220111_MX668 Phylloscopus humei diff ind WII Dehradun EDITED,48,56,0
62,220125_MX709 Phylloscopus humei WII Dehradun EDITED,38,47,0
63,220223_XC704667 - Hume's Leaf Warbler - Phylloscopus humei EDITED,9,12,0
64,220616_MixPre-209 Phylloscopus humei EDITED,6,10,0
65,220619_XC738539 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED,23,23,0
66,230101_001_Tr1 Phylloscopus humei WII Dehradun Uttarakhand edited,24,58,0
67,230205_002_Tr1 Phylloscopus humei WII Dehradun Uttarakhand edited,22,37,1
68,230212_011_Tr1 Phylloscopus humei WII Dehradun Uttarakhand edited,33,28,1
69,240202_001 Phylloscopus humei Chandrabani Sal Forest Dehradun edited,21,39,1
70,241105_XC945927 - Hume's Leaf Warbler - Phylloscopus humei edited,9,11,1
,,3,,13
