sno,YearCopy,Source.Name,Call type,Format,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,DeltaTimeS12,Year,Year5,Decades,Twos,Threes,4 Years
53,1997,0000971000x_AN20bCue 01 Phylloscopus humei Dehradun Uttarakhand 1997 October.Table.4.selections_12splits.txt,c,wav,3445.312,3273.047,3273.047,3273.047,3186.914,3445.312,4220.508,4478.906,4306.641,4392.773,5081.836,3962.109,3445.312,3273.047,3186.914,3273.047,3186.914,3531.445,4134.375,4306.641,4306.641,4392.773,5081.836,4220.508,0.015,1997,F4,D2,Tw08,T06,IV04
54,1998,"00009801xx_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29).Table.4.selections_12splits.txt",c,wav,3359.18,3100.781,3100.781,2842.383,3359.18,3875.977,4134.375,4220.508,4392.773,5943.164,5340.234,4048.242,4565.039,3100.781,3014.648,2928.516,3273.047,3875.977,4048.242,4306.641,4306.641,5943.164,4995.703,3962.109,0.0168,1998,F4,D2,Tw09,T06,IV05
55,1998,"00009801xx_Bharatpur_Pholt_Warbler, Hume's Leaf (Rajasthan)(CD26-13).Table.4.selections_12splits.txt",c,wav,5857.031,3617.578,5857.031,5426.367,3273.047,3789.844,3962.109,4134.375,4220.508,5857.031,5857.031,3789.844,5857.031,3617.578,5684.766,5426.367,3273.047,3703.711,3962.109,4048.242,4134.375,5857.031,5426.367,3789.844,0.0185,1998,F4,D2,Tw09,T06,IV05
56,1998,00009804xx_GHNP_ANCue 14 U Phylloscopus griseolis affinis GHNP Himachal 1998 April P-humei background.Table.4.selections_12splits.txt,c,wav,5684.766,2928.516,2928.516,2928.516,3359.18,3531.445,3617.578,4651.172,4565.039,6632.227,5598.633,4995.703,5598.633,3359.18,3273.047,3014.648,3359.18,3617.578,3875.977,4565.039,4565.039,6029.297,5598.633,4823.438,0.0197,1998,F4,D2,Tw09,T06,IV05
57,1998,00009804xx_GHNP_ANCue 16 Phylloscopus occipitalis GHNP Himachal 1998 April P-humei background.Table.4.selections_12splits.txt,c,wav,3359.18,5857.031,5598.633,5598.633,3445.312,3789.844,4220.508,4565.039,4478.906,5598.633,4392.773,3531.445,3789.844,4392.773,5598.633,5598.633,3531.445,3875.977,4220.508,4478.906,4478.906,5684.766,4823.438,3875.977,0.0186,1998,F4,D2,Tw09,T06,IV05
58,1998,00009804xx_Himachal_PS_ANCue 03 Phylloscopus humei GHNP Himachal 1998 April.Table.4.selections_12splits.txt,c,wav,4478.906,3445.312,3100.781,2928.516,3531.445,3617.578,4478.906,4737.305,4737.305,5081.836,5598.633,5770.898,4478.906,3445.312,3100.781,5081.836,3445.312,3703.711,4478.906,4823.438,4823.438,5081.836,5684.766,5598.633,0.0169,1998,F4,D2,Tw09,T06,IV05
59,1998,00009804xx_Himachal_PS_ANCue 03 Phylloscopus humei GHNP Himachal 1998 April.Table.7.selections_12splits.txt,c,wav,4651.172,3014.648,2928.516,2928.516,3100.781,3962.109,4565.039,4565.039,4565.039,4651.172,5684.766,5426.367,4995.703,3100.781,2928.516,3014.648,3100.781,3962.109,4392.773,4565.039,4565.039,4565.039,5770.898,5426.367,0.0163,1998,F4,D2,Tw09,T06,IV05
60,1998,00009804xx_Himachal_PS_ANCue 15 Phylloscopus humei GHNP Himchal 1998 April.Table.4.selections_12splits.txt,c,wav,5426.367,3100.781,3100.781,5512.5,3100.781,3531.445,4306.641,4478.906,4823.438,4737.305,6459.961,4909.57,5426.367,3186.914,3186.914,4478.906,3273.047,3617.578,4306.641,4565.039,4737.305,4737.305,6115.43,4909.57,0.0183,1998,F4,D2,Tw09,T06,IV05
61,1998,0000980500x_Phylloscopus humei L PA98_05_55-56.Table.4.selections_12splits.txt,c,wav,5081.836,3531.445,2928.516,2928.516,3186.914,3789.844,4392.773,4478.906,3789.844,5426.367,5081.836,4306.641,4909.57,3445.312,2928.516,2928.516,3100.781,3789.844,4306.641,4478.906,3875.977,5426.367,4823.438,4220.508,0.0168,1998,F4,D2,Tw09,T06,IV05
62,1998,0000980600x_Phylloscopus humei L PA98_06_12.Table.4.selections_12splits.txt,c,wav,5167.969,3617.578,3186.914,3014.648,3531.445,4220.508,4306.641,4565.039,4306.641,4048.242,5340.234,4392.773,5254.102,3617.578,3186.914,3014.648,3531.445,4134.375,4306.641,4651.172,4478.906,4220.508,5340.234,4306.641,0.0169,1998,F4,D2,Tw09,T06,IV05
