sno,Source.Name,P1,P2,P3,P4,C1,C2,C3,C4,DeltaTimeS12,Year,YearF,Year5,Deacades,Twos,Threes,4 Years
176,2001_02xx_Bharatpur_Hannu_Phyhum2D401_01+02_1.Table.2.selections_4splits.txt,5081.836,3531.445,4048.242,5684.766,5081.836,3531.445,4048.242,5167.969,0.0537,2001,2001,F5,D3,Tw10,T07,IV05
177,2001_02xx_Bharatpur_Hannu_PhyhumD301_01+02_2.Table.2.selections_4splits.txt,5167.969,3703.711,4220.508,5340.234,5081.836,3703.711,4134.375,5081.836,0.0589,2001,2001,F5,D3,Tw10,T07,IV05
178,2001_02xx_Bharatpur_Hannu_PhyhumD401_01+02_3.Table.2.selections_4splits.txt,4134.375,3617.578,4134.375,4220.508,4220.508,3531.445,4048.242,4392.773,0.0584,2001,2001,F5,D3,Tw10,T07,IV05
179,2001_02xx_Corbett_Hannu_Phyhum2D101_01+02_5.Table.2.selections_4splits.txt,4995.703,3445.312,3962.109,3962.109,4823.438,3445.312,3962.109,4134.375,0.0565,2001,2001,F5,D3,Tw10,T07,IV05
180,2001_02xx_Corbett_Hannu_PhyhumD101_01+02_6.Table.2.selections_4splits.txt,4651.172,5340.234,3875.977,5426.367,4651.172,5254.102,3875.977,5167.969,0.0604,2001,2001,F5,D3,Tw10,T07,IV05
66,0201xx_Bharatpur_Hannu_Phyhum3D202_01+02_7.Table.2.selections_4splits.txt,5081.836,4995.703,4134.375,4306.641,5081.836,4995.703,4134.375,5081.836,0.0524,2002,2002,F5,D3,Tw11,T07,IV06
67,0201xx_Bharatpur_Hannu_PhyhumD202_01+02_8.Table.2.selections_4splits.txt,4995.703,4909.57,3875.977,5857.031,4909.57,4909.57,3703.711,5167.969,0.0581,2002,2002,F5,D3,Tw11,T07,IV06
68,0202xx_Bharatpur_Hannu_Phyhum2D202_01+02_9.Table.2.selections_4splits.txt,4306.641,3186.914,3789.844,4565.039,4306.641,3186.914,3703.711,4392.773,0.0612,2002,2002,F5,D3,Tw11,T07,IV06
69,0203xx_Bharatpur_Schweizer_XC347754 - Hume's Leaf Warbler - Phylloscopus humei humei_01+02_10.Table.2.selections_4splits.txt,5312.5,3937.5,4250,4312.5,5312.5,3937.5,4187.5,5000,0.0531,2003,2003,F5,D3,Tw11,T07,IV06
70,XC749562 - Hume's Leaf Warbler - Phylloscopus humei humei.Table.2.selections_4splits,4478.906,3617.578,3962.109,4392.773,4478.906,3531.445,3875.977,4392.773,0.0558,2002,2002,F5,D3,Tw11,T08,IV06
71,040926_24MD-2.10B7 Phylloscopus humei Bhopal Madhya Pradesh_04+05_1.Table.2.selections_4splits.txt,5167.969,5081.836,3789.844,4048.242,5081.836,5081.836,3875.977,4651.172,0.0543,2004,2004,F5,D3,Tw12,T08,IV06
72,041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh.Table.2.selections_4splits.txt,5512.5,5081.836,3789.844,5598.633,5167.969,4995.703,3789.844,4909.57,0.057925,2004,2004,F5,D3,Tw12,T08,IV06
73,041022_102D19 Phylloscopus humei IIFM Bhopal Madhya Pradseh_04+05_2.Table.2.selections_4splits.txt,5081.836,4995.703,3875.977,4823.438,5081.836,4995.703,3875.977,4823.438,0.057,2004,2004,F5,D3,Tw12,T08,IV06
74,041224_105D95-96 Phylloscopus humei Bori WLS Madhya Pradesh_04+05_4.Table.2.selections_4splits.txt,4909.57,4909.57,3789.844,4565.039,4995.703,4909.57,3703.711,4909.57,0.0531,2004,2004,F5,D3,Tw12,T08,IV06
75,041228_104D90 Phylloscopus humei trochiloides Bori WLS Madhya Pradesh_04+05_6.Table.2.selections_4splits.txt,4995.703,4823.438,3962.109,4737.305,4995.703,4909.57,3875.977,4823.438,0.0529,2004,2004,F5,D3,Tw12,T08,IV06
76,050916_D129aCue 14 Sitta leucopsis near Manali Himachal P-humei background_04+05_8.Table.2.selections_4splits.txt,5167.969,4823.438,3703.711,4651.172,5167.969,4909.57,3703.711,4565.039,0.0477,2005,2005,F5,D3,Tw12,T08,IV06
77,050916_D129aCue 23 Phylloscopus spp near Manali Himachal P-humei background_04+05_9.Table.2.selections_4splits.txt,5167.969,5081.836,3962.109,4995.703,5081.836,5081.836,3962.109,5167.969,0.0598,2005,2005,F5,D3,Tw12,T08,IV06
78,051031_D130bCue 12 Phylloscopus humei KGNP Bharatpur Rajasthan_04+05_10.Table.2.selections_4splits.txt,4995.703,4651.172,3875.977,4909.57,4995.703,4737.305,3875.977,4909.57,0.0593,2005,2005,F5,D3,Tw12,T08,IV06
