sno,Source.Name,P1,P2,P3,P4,C1,C2,C3,C4,DeltaTimeS12,Year,YearF,Year5,Deacades,Twos,Threes,4 Years
58,00009804xx_Himachal_PS_ANCue 03 Phylloscopus humei GHNP Himachal 1998 April.Table.2.selections_4splits.txt,4478.906,3617.578,4737.305,5598.633,4392.773,3617.578,4823.438,5684.766,0.0506,1998,1998,F4,D2,Tw09,T06,IV05
59,00009804xx_Himachal_PS_ANCue 03 Phylloscopus humei GHNP Himachal 1998 April.Table.5.selections_4splits.txt,4651.172,3962.109,4565.039,5426.367,4737.305,3962.109,4565.039,5512.5,0.0489,1998,1998,F4,D2,Tw09,T06,IV05
60,00009804xx_Himachal_PS_ANCue 15 Phylloscopus humei GHNP Himchal 1998 April.Table.2.selections_4splits.txt,5426.367,3531.445,4478.906,6459.961,5340.234,3617.578,4478.906,5684.766,0.0549,1998,1998,F4,D2,Tw09,T06,IV05
61,0000980500x_Phylloscopus humei L PA98_05_55-56.Table.2.selections_4splits.txt,3531.445,3789.844,4478.906,5081.836,3617.578,3789.844,4392.773,4909.57,0.0505,1998,1998,F4,D2,Tw09,T06,IV05
62,0000980600x_Phylloscopus humei L PA98_06_12.Table.2.selections_4splits.txt,3186.914,4220.508,4306.641,4392.773,3531.445,4134.375,4392.773,4995.703,0.0507,1998,1998,F4,D2,Tw09,T06,IV05
63,0000990425_76p27-28 Phylloscopus humei Jalori Pass Himachal_98+99_12.Table.2.selections_4splits.txt,3359.18,3875.977,4737.305,5770.898,3531.445,3789.844,4737.305,5254.102,0.0445,1999,1999,F4,D2,Tw09,T06,IV05
64,00009904xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10.Table.2.selections_4splits.txt,3100.781,3789.844,4823.438,5512.5,3445.312,3531.445,4651.172,5254.102,0.0551,1999,1999,F4,D2,Tw09,T06,IV05
65,00009904xx_Himachal_PS_AN6Cue 20 phylloscopus humei+Tarsiger rufilatus Soja-Jalori Himachal 1999 April_98+99_11.Table.2.selections_4splits.txt,3359.18,3703.711,4651.172,4306.641,3445.312,3703.711,4651.172,4823.438,0.0438,1999,1999,F4,D2,Tw09,T06,IV05
172,2000_0326_58p25 Dendrocitta vagabunda near WII Dehradun Uttarakhand P-humei background_4.Table.2.selections_4splits.txt,5770.898,3962.109,4478.906,5770.898,5770.898,3962.109,4565.039,5857.031,0.0521,2000,2000,F4,D2,Tw10,T07,IV05
173,2000_0327_58p32 Ocyceros birostris near WII Dehradun Uttarakhand P-humei background_3.Table.2.selections_4splits.txt,5857.031,3875.977,4565.039,5254.102,4565.039,3875.977,4478.906,5426.367,0.0444,2000,2000,F4,D2,Tw10,T07,IV05
174,2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1.Table.2.selections_4splits.txt,5340.234,3789.844,4220.508,4909.57,5081.836,3703.711,4220.508,4909.57,0.0432,2000,2000,F4,D2,Tw10,T07,IV05
175,2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1.Table.5.selections_4splits.txt,5426.367,3789.844,4478.906,4909.57,5254.102,3789.844,4392.773,4909.57,0.0482,2000,2000,F4,D2,Tw10,T07,IV05
